,Not guessed
0,Alabama
1,Arizona
2,California
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Georgia
8,Illinois
9,Indiana
10,Iowa
11,Kentucky
12,Louisiana
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,Montana
20,New Hampshire
21,New Jersey
22,New Mexico
23,North Carolina
24,North Dakota
25,Oklahoma
26,Pennsylvania
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Utah
32,Vermont
33,Virginia
34,Washington
35,West Virginia
36,Wisconsin
37,Wyoming
